system:index,sum,year,.geo
18_0,6320.134717477446,2008-07-01,"{""type"":""Polygon"",""coordinates"":[[[21.995671332376105,-18.60326358851667],[22.290686112992944,-18.941764024773665],[21.945233677078022,-19.496174215276806],[22.84439596955849,-20.312802846252264],[22.446828220535053,-20.553449920435497],[22.55600485627724,-20.702538393128542],[22.921300266433494,-20.473704939798598],[23.135533664870994,-20.335983092886277],[23.39371237580849,-20.145287068797384],[23.44452414338662,-20.082099766235665],[23.67935690705849,-19.820053034004616],[24.2568257791288,-19.12348461449692],[23.482976291824116,-18.67003886902422],[23.36761984651162,-18.603022835216123],[23.271782594769544,-18.545872902487968],[23.06618246858193,-18.425270339271584],[22.455754612136616,-18.79034093660079],[21.83090720002724,-18.190590538447204],[21.700444553542866,-18.272112604111847],[21.995671332376105,-18.60326358851667]]]}"
2_0,5578.279689183592,1992-07-01,"{""type"":""Polygon"",""coordinates"":[[[21.995671332376105,-18.60326358851667],[22.290686112992944,-18.941764024773665],[21.945233677078022,-19.496174215276806],[22.84439596955849,-20.312802846252264],[22.446828220535053,-20.553449920435497],[22.55600485627724,-20.702538393128542],[22.921300266433494,-20.473704939798598],[23.135533664870994,-20.335983092886277],[23.39371237580849,-20.145287068797384],[23.44452414338662,-20.082099766235665],[23.67935690705849,-19.820053034004616],[24.2568257791288,-19.12348461449692],[23.482976291824116,-18.67003886902422],[23.36761984651162,-18.603022835216123],[23.271782594769544,-18.545872902487968],[23.06618246858193,-18.425270339271584],[22.455754612136616,-18.79034093660079],[21.83090720002724,-18.190590538447204],[21.700444553542866,-18.272112604111847],[21.995671332376105,-18.60326358851667]]]}"
21_0,8390.470102491612,2011-07-01,"{""type"":""Polygon"",""coordinates"":[[[21.995671332376105,-18.60326358851667],[22.290686112992944,-18.941764024773665],[21.945233677078022,-19.496174215276806],[22.84439596955849,-20.312802846252264],[22.446828220535053,-20.553449920435497],[22.55600485627724,-20.702538393128542],[22.921300266433494,-20.473704939798598],[23.135533664870994,-20.335983092886277],[23.39371237580849,-20.145287068797384],[23.44452414338662,-20.082099766235665],[23.67935690705849,-19.820053034004616],[24.2568257791288,-19.12348461449692],[23.482976291824116,-18.67003886902422],[23.36761984651162,-18.603022835216123],[23.271782594769544,-18.545872902487968],[23.06618246858193,-18.425270339271584],[22.455754612136616,-18.79034093660079],[21.83090720002724,-18.190590538447204],[21.700444553542866,-18.272112604111847],[21.995671332376105,-18.60326358851667]]]}"
23_0,7316.400960875175,2013-07-01,"{""type"":""Polygon"",""coordinates"":[[[21.995671332376105,-18.60326358851667],[22.290686112992944,-18.941764024773665],[21.945233677078022,-19.496174215276806],[22.84439596955849,-20.312802846252264],[22.446828220535053,-20.553449920435497],[22.55600485627724,-20.702538393128542],[22.921300266433494,-20.473704939798598],[23.135533664870994,-20.335983092886277],[23.39371237580849,-20.145287068797384],[23.44452414338662,-20.082099766235665],[23.67935690705849,-19.820053034004616],[24.2568257791288,-19.12348461449692],[23.482976291824116,-18.67003886902422],[23.36761984651162,-18.603022835216123],[23.271782594769544,-18.545872902487968],[23.06618246858193,-18.425270339271584],[22.455754612136616,-18.79034093660079],[21.83090720002724,-18.190590538447204],[21.700444553542866,-18.272112604111847],[21.995671332376105,-18.60326358851667]]]}"
24_0,8555.778124127757,2014-07-01,"{""type"":""Polygon"",""coordinates"":[[[21.995671332376105,-18.60326358851667],[22.290686112992944,-18.941764024773665],[21.945233677078022,-19.496174215276806],[22.84439596955849,-20.312802846252264],[22.446828220535053,-20.553449920435497],[22.55600485627724,-20.702538393128542],[22.921300266433494,-20.473704939798598],[23.135533664870994,-20.335983092886277],[23.39371237580849,-20.145287068797384],[23.44452414338662,-20.082099766235665],[23.67935690705849,-19.820053034004616],[24.2568257791288,-19.12348461449692],[23.482976291824116,-18.67003886902422],[23.36761984651162,-18.603022835216123],[23.271782594769544,-18.545872902487968],[23.06618246858193,-18.425270339271584],[22.455754612136616,-18.79034093660079],[21.83090720002724,-18.190590538447204],[21.700444553542866,-18.272112604111847],[21.995671332376105,-18.60326358851667]]]}"
25_0,7983.411181258583,2015-07-01,"{""type"":""Polygon"",""coordinates"":[[[21.995671332376105,-18.60326358851667],[22.290686112992944,-18.941764024773665],[21.945233677078022,-19.496174215276806],[22.84439596955849,-20.312802846252264],[22.446828220535053,-20.553449920435497],[22.55600485627724,-20.702538393128542],[22.921300266433494,-20.473704939798598],[23.135533664870994,-20.335983092886277],[23.39371237580849,-20.145287068797384],[23.44452414338662,-20.082099766235665],[23.67935690705849,-19.820053034004616],[24.2568257791288,-19.12348461449692],[23.482976291824116,-18.67003886902422],[23.36761984651162,-18.603022835216123],[23.271782594769544,-18.545872902487968],[23.06618246858193,-18.425270339271584],[22.455754612136616,-18.79034093660079],[21.83090720002724,-18.190590538447204],[21.700444553542866,-18.272112604111847],[21.995671332376105,-18.60326358851667]]]}"
26_0,7299.049208647001,2016-07-01,"{""type"":""Polygon"",""coordinates"":[[[21.995671332376105,-18.60326358851667],[22.290686112992944,-18.941764024773665],[21.945233677078022,-19.496174215276806],[22.84439596955849,-20.312802846252264],[22.446828220535053,-20.553449920435497],[22.55600485627724,-20.702538393128542],[22.921300266433494,-20.473704939798598],[23.135533664870994,-20.335983092886277],[23.39371237580849,-20.145287068797384],[23.44452414338662,-20.082099766235665],[23.67935690705849,-19.820053034004616],[24.2568257791288,-19.12348461449692],[23.482976291824116,-18.67003886902422],[23.36761984651162,-18.603022835216123],[23.271782594769544,-18.545872902487968],[23.06618246858193,-18.425270339271584],[22.455754612136616,-18.79034093660079],[21.83090720002724,-18.190590538447204],[21.700444553542866,-18.272112604111847],[21.995671332376105,-18.60326358851667]]]}"
27_0,7916.5177226519745,2017-07-01,"{""type"":""Polygon"",""coordinates"":[[[21.995671332376105,-18.60326358851667],[22.290686112992944,-18.941764024773665],[21.945233677078022,-19.496174215276806],[22.84439596955849,-20.312802846252264],[22.446828220535053,-20.553449920435497],[22.55600485627724,-20.702538393128542],[22.921300266433494,-20.473704939798598],[23.135533664870994,-20.335983092886277],[23.39371237580849,-20.145287068797384],[23.44452414338662,-20.082099766235665],[23.67935690705849,-19.820053034004616],[24.2568257791288,-19.12348461449692],[23.482976291824116,-18.67003886902422],[23.36761984651162,-18.603022835216123],[23.271782594769544,-18.545872902487968],[23.06618246858193,-18.425270339271584],[22.455754612136616,-18.79034093660079],[21.83090720002724,-18.190590538447204],[21.700444553542866,-18.272112604111847],[21.995671332376105,-18.60326358851667]]]}"
28_0,7123.766677842083,2018-07-01,"{""type"":""Polygon"",""coordinates"":[[[21.995671332376105,-18.60326358851667],[22.290686112992944,-18.941764024773665],[21.945233677078022,-19.496174215276806],[22.84439596955849,-20.312802846252264],[22.446828220535053,-20.553449920435497],[22.55600485627724,-20.702538393128542],[22.921300266433494,-20.473704939798598],[23.135533664870994,-20.335983092886277],[23.39371237580849,-20.145287068797384],[23.44452414338662,-20.082099766235665],[23.67935690705849,-19.820053034004616],[24.2568257791288,-19.12348461449692],[23.482976291824116,-18.67003886902422],[23.36761984651162,-18.603022835216123],[23.271782594769544,-18.545872902487968],[23.06618246858193,-18.425270339271584],[22.455754612136616,-18.79034093660079],[21.83090720002724,-18.190590538447204],[21.700444553542866,-18.272112604111847],[21.995671332376105,-18.60326358851667]]]}"
29_0,3488.032278483872,2019-07-01,"{""type"":""Polygon"",""coordinates"":[[[21.995671332376105,-18.60326358851667],[22.290686112992944,-18.941764024773665],[21.945233677078022,-19.496174215276806],[22.84439596955849,-20.312802846252264],[22.446828220535053,-20.553449920435497],[22.55600485627724,-20.702538393128542],[22.921300266433494,-20.473704939798598],[23.135533664870994,-20.335983092886277],[23.39371237580849,-20.145287068797384],[23.44452414338662,-20.082099766235665],[23.67935690705849,-19.820053034004616],[24.2568257791288,-19.12348461449692],[23.482976291824116,-18.67003886902422],[23.36761984651162,-18.603022835216123],[23.271782594769544,-18.545872902487968],[23.06618246858193,-18.425270339271584],[22.455754612136616,-18.79034093660079],[21.83090720002724,-18.190590538447204],[21.700444553542866,-18.272112604111847],[21.995671332376105,-18.60326358851667]]]}"
