id,species,undet,ad_m,ad_f,ad_u,sub_m,sub_f,sub_u,juv_m,juv_f,juv_u,count,distance,angle,odometer,lat,lon,notes
5.2,giraffe,,1,,,,,,,,,1,73,0,1.45,-19.1143,23.5602,
5.2,zebra,,1,,,,,,,,,1,47,45,1.49,-19.1192,23.5599,
5.2,impala,,3,20,,1,,,,,,24,189,80,3.04,-19.1142,23.5478,
5.2,impala,,1,10,,,,,,,,11,177,30,3.09,-19.1141,23.5473,
5.2,impala,,1,,,4,,,,,,5,115,80,3.22,-19.1147,23.5461,Saw lions - 3 young male and 6 female with elephant kill. -19.11899
5.2,tsb,,,3,1,,,,,,,4,71,60,4.26,-19.11472,23.53779,
5.2,wildebeest,,1,,,,,,,,,1,72,60,4.26,-19.11472,23.53779,
5.2,zebra,1,,,2,,,1,,,,4,97,60,4.26,-19.11472,23.53779,
5.2,zebra,,,,6,,,,,,,6,318,45,5.16,-19.11722,23.53027,
5.2,impala,,,11,,,,,,,,11,23,45,5.37,-19.118084,23.52856,
5.2,kudu,,1,,,,,,,,,1,23,45,5.37,-19.118084,23.52856,
5.2,tsb,,,,2,,,,,,,2,349,80,5.59,-19.1176,23.5267,
5.2,zebra,,,,1,,,,,,,1,599,70,5.59,-19.1176,23.5267,
5.2,zebra,,,,5,,,,,,1,6,56,10,6.08,-19.11917,23.52241,
5.2,warthog,,,1,,,,,,,1,2,209,90,6.41,-19.1188,23.5194,
5.2,vervet,,,,4,,,,,,,4,43,45,7.11,-19.1181,23.5136,
5.2,baboon,,1,2,5,,,,,,7,15,55,30,7.11,-19.1181,23.5136,
5.2,impala,,1,7,,,,,,,,8,55,30,7.11,-19.1181,23.5136,
6.1,zebra,,,,5,,,,,,,5,144,35,0.15,-19.11853,23.5141,
6.1,kudu,,,3,2,,2,,,,,7,172,35,0.15,-19.1185,23.5141,
6.1,zebra,,,,10,,,3,,,,13,97,10,0.3,-19.11928,23.51535,
6.1,impala,,1,25,,,,,,,,26,97,10,0.3,-19.11928,23.51535,
6.1,buffalo,,1,,,,,,,,,1,287,25,0.46,-19.11897,23.51678,
6.1,zebra,,,,2,,,,,,,2,325,45,1.23,-19.11868,23.52346,
6.1,impala,,1,,,,,,,,,1,233,20,1.33,-19.11853,23.52437,
6.1,zebra,,,,3,,,,,,1,4,151,40,2.08,-19.11695,23.53063,
6.1,zebra,,1,1,4,,,,,,2,8,199,30,2.42,-19.11586,23.5336,
6.1,impala,,1,1,7,1,,,,,,10,33,30,3.45,-19.11582,23.542,
6.1,zebra,,,,7,,,,,,2,9,162,20,3.45,-19.11582,23.542,
6.1,tsb,,,,1,,,,,,,1,224,30,3.45,-19.1158,23.542,
6.1,zebra,,,,22,,,,,,2,24,220,90,3.77,-19.11482,23.54464,
6.1,zebra,,,,7,,,,,,1,8,39,5,3.77,-19.1148,23.54464,
6.1,impala,,1,9,,3,2,,,,,15,56,35,3.77,-19.1148,23.54464,
6.1,impala,,3,3,,,,,,,,6,168,90,3.77,-19.1148,23.54464,
6.1,impala,,,,8,,,,,,,8,14,40,4.15,-19.11416,23.54764,
6.1,zebra,,1,4,13,,,3,,,4,25,48,80,4.15,-19.1142,23.54764,
6.1,zebra ,,,,29,,,,,,3,32,58,70,5.27,-19.11743,23.55325,
6.1,giraffe,,1,,,,,,,,,1,158,70,5.27,-19.11785,23.55617,
6.1,warthog,,1,3,,,,,,,4,8,72,35,5.94,-19.12011,23.56149,
6.1,impala,,4,,,,,,,,,4,140,30,6.51,-19.12249,23.56533,
6.2,banded_mon,,,,9,,,,,,,9,18,90,1.31,-19.11564,23.56086,
6.2,buffalo,,2,,,,,,,,,2,54,40,1.37,-19.11551,23.56033,
6.2,impala,,4,,,,,,,,,4,17,90,2.01,-19.1125,23.5559,
6.2,steenbok,,1,,,,,,,,,1,73,90,2.4,-19.11078,23.5529,
6.2,impala,,6,,,,,,,,,6,47,80,2.76,-19.1105,23.55002,
6.2,impala,,,,10,,,,,,,10,359,60,3.09,-19.11067,23.54728,
6.2,zebra,,,,8,,,,,,1,9,359,60,3.09,-19.1107,23.54728,
6.2,impala,,,12,,2,,,,,,14,261,60,9.42,-19.1018,23.50441,
6.2,elephant,,,,1,,,,,,,1,116,80,10.53,-19.11075,23.5015,
